RNA_en1:Cortex_Epidermis	RNA_en1:Endodermis	RNA_en1:Nodule_infected_cell	RNA_en1:Nodule_meritem	RNA_en1:Nodule_uninfected_cell	RNA_en1:Pericycle	RNA_en1:Phloem	RNA_en1:Procambium	RNA_en1:Xylem	RNA_en2:Cortex_Epidermis	RNA_en2:Endodermis	RNA_en2:Nodule_infected_cell	RNA_en2:Nodule_meritem	RNA_en2:Nodule_uninfected_cell	RNA_en2:Pericycle	RNA_en2:Phloem	RNA_en2:Procambium	RNA_en2:Xylem
Glyma.01G000100	191	7	28	12	36	14	2	34	2	183	1	26	6	35	5	1	28	1
Glyma.01G000322	242	3	49	19	61	9	14	47	5	229	4	37	16	44	5	1	52	3
Glyma.01G000359	40	1	5	2	4	2	3	11	1	0	0	0	0	0	0	0	0	0
Glyma.01G000400	87	0	11	5	14	6	1	19	2	64	0	16	1	3	2	0	17	0
Glyma.01G000600	226	3	30	6	24	12	1	52	2	187	3	23	8	32	5	0	59	8
Glyma.01G000900	1076	13	157	29	151	62	23	215	11	1099	21	141	24	139	29	8	209	23
Glyma.01G001000	162	2	19	4	27	11	2	22	1	121	4	14	1	13	5	2	25	1
Glyma.01G001100	69	0	7	2	12	3	2	18	0	62	0	4	1	11	2	2	9	0
Glyma.01G001200	58	0	14	3	6	0	2	8	1	38	0	8	6	10	0	1	6	2
Glyma.01G001300	325	2	39	17	56	14	13	40	1	276	3	28	11	36	11	0	57	3
Glyma.01G001600	148	1	24	9	28	5	1	23	0	127	0	33	3	13	6	2	23	1
Glyma.01G001700	107	1	19	6	14	3	3	12	0	78	2	17	5	9	2	0	13	0
Glyma.01G002100	51	1	16	4	19	2	3	22	1	63	4	12	5	11	4	5	33	1
Glyma.01G002200	96	0	6	4	14	6	3	17	3	73	1	8	2	4	2	0	13	0
Glyma.01G002400	164	1	8	5	32	7	1	15	8	136	2	10	2	26	1	0	8	1
Glyma.01G002600	24	1	9	3	6	3	2	5	1	0	0	0	0	0	0	0	0	0
Glyma.01G002700	36	1	2	3	6	1	1	7	1	33	0	3	1	6	0	0	6	0
Glyma.01G003100	70	1	11	6	6	3	0	8	0	63	0	7	0	13	2	0	9	1
Glyma.01G003600	47	0	7	1	7	1	1	7	0	47	0	3	0	4	1	1	3	0
Glyma.01G003700	236	3	44	11	32	15	4	31	13	159	3	35	6	35	10	2	34	4
Glyma.01G003800	109	1	13	3	12	7	1	17	4	100	0	18	2	17	3	0	25	0
Glyma.01G004100	99	1	13	8	18	7	4	13	1	85	1	11	1	14	0	3	10	2
Glyma.01G004200	104	0	8	4	35	5	1	25	1	81	0	5	3	11	5	0	19	0
Glyma.01G004300	671	5	106	35	72	42	20	96	1	512	2	80	11	88	15	5	83	3
Glyma.01G004500	202	2	30	3	18	13	11	40	5	165	2	24	5	26	9	2	26	1
Glyma.01G004600	36	1	24	7	10	5	3	8	0	30	0	30	4	1	1	0	5	0
Glyma.01G004700	40	0	8	4	11	2	1	8	0	29	0	6	2	5	0	0	3	0
Glyma.01G005000	200	1	56	7	31	13	1	34	6	168	3	50	4	22	9	1	27	3
Glyma.01G005200	34	1	2	1	1	2	4	6	0	0	0	0	0	0	0	0	0	0
Glyma.01G005300	91	2	15	2	14	3	2	24	4	83	0	9	3	15	2	1	8	2
Glyma.01G005400	216	1	19	7	19	12	6	65	2	149	1	12	3	29	5	2	33	1
Glyma.01G005500	31	6	0	2	0	5	7	9	14	25	7	4	0	6	1	12	19	11
Glyma.01G006000	1316	12	71	29	102	47	23	122	11	1156	14	56	10	117	18	7	95	11
Glyma.01G006100	800	8	123	36	146	33	24	135	11	710	6	114	20	130	19	7	122	14
Glyma.01G006200	996	7	153	41	168	62	25	162	8	884	8	123	22	157	26	6	157	11
Glyma.01G006400	224	3	42	13	38	13	8	46	1	197	1	30	5	33	9	2	25	1
Glyma.01G006500	873	12	147	28	90	35	30	120	17	712	14	116	10	83	8	2	119	11
Glyma.01G006600	142	2	17	1	12	6	8	24	0	138	3	13	4	27	1	2	16	1
Glyma.01G006700	96	2	5	1	17	3	1	18	0	64	2	0	2	13	2	0	14	2
Glyma.01G006800	102	12	22	3	21	6	1	30	1	106	4	16	1	18	2	1	31	0
Glyma.01G006900	122	1	18	4	11	10	5	28	1	104	1	17	4	11	3	0	18	2
Glyma.01G007200	174	1	26	5	37	4	3	18	2	168	1	22	3	20	4	0	17	1
Glyma.01G007300	95	0	20	0	9	3	1	12	0	62	0	8	1	16	0	0	17	0
Glyma.01G007400	180	1	7	9	31	16	5	40	5	137	2	11	4	30	4	1	23	2
Glyma.01G007700	85	2	15	9	18	11	5	16	1	88	3	22	3	12	2	2	7	1
Glyma.01G007800	231	2	50	9	33	20	3	41	4	160	2	46	2	34	6	0	19	2
Glyma.01G008000	117	1	21	1	27	9	2	22	0	73	0	6	2	13	1	0	11	1
Glyma.01G008400	149	7	11	6	20	10	3	24	6	112	13	2	7	11	7	1	13	4
Glyma.01G008500	217	4	22	13	29	11	8	48	1	205	0	8	5	26	7	1	35	0
Glyma.01G008600	234	2	26	5	28	14	5	49	3	199	2	25	4	23	6	1	42	5
Glyma.01G008700	182	3	139	12	46	12	4	45	5	160	1	164	4	21	5	0	29	2
Glyma.01G008800	108	0	18	3	14	4	3	18	0	86	0	13	1	16	3	1	15	1
Glyma.01G008900	227	2	30	9	21	11	10	40	5	195	9	12	2	36	3	0	39	8
Glyma.01G009200	52	3	10	2	3	8	7	32	3	59	1	3	2	5	7	0	23	3
Glyma.01G009300	427	6	90	18	70	25	16	83	5	352	7	80	8	69	13	3	59	2
Glyma.01G009400	76	0	23	3	14	3	3	12	3	74	0	19	2	17	3	0	6	1
Glyma.01G009600	165	0	30	8	60	6	1	15	1	117	3	22	8	68	3	0	14	1
Glyma.01G009700	432	4	188	52	78	31	20	85	1	422	5	187	25	64	5	4	60	3
Glyma.01G009800	42	0	5	1	5	2	1	9	2	37	0	4	0	5	2	0	3	1
