RNA_hp1:Dividing_cell	RNA_hp1:Endodermis	RNA_hp1:Epidermis	RNA_hp1:Inner_cortex	RNA_hp1:Outer_cortex	RNA_hp1:Pericycle	RNA_hp1:Phloem	RNA_hp1:Pith	RNA_hp1:Procambium	RNA_hp1:Trichome	RNA_hp1:Unknown	RNA_hp1:Vascular_parenchyma	RNA_hp1:Xylem	RNA_hp2:Dividing_cell	RNA_hp2:Endodermis	RNA_hp2:Epidermis	RNA_hp2:Inner_cortex	RNA_hp2:Outer_cortex	RNA_hp2:Pericycle	RNA_hp2:Phloem	RNA_hp2:Pith	RNA_hp2:Procambium	RNA_hp2:Trichome	RNA_hp2:Unknown	RNA_hp2:Vascular_parenchyma	RNA_hp2:Xylem
Glyma.01G000100	15	6	4	5	28	6	9	25	27	15	4	38	0	13	12	2	9	54	5	5	35	37	16	3	34	0
Glyma.01G000322	22	10	13	12	74	6	26	45	90	26	9	58	2	41	20	22	24	82	21	20	68	98	30	14	76	6
Glyma.01G000359	1	1	4	0	14	2	0	9	5	3	0	6	2	3	0	2	3	14	1	0	11	11	4	0	7	0
Glyma.01G000400	12	1	8	8	45	0	9	19	33	8	2	21	4	24	6	12	16	68	1	4	29	40	12	3	26	4
Glyma.01G000600	23	11	24	15	63	7	13	53	41	19	6	46	8	22	13	16	17	84	3	16	59	49	28	4	45	7
Glyma.01G000900	111	112	95	122	512	91	138	387	357	377	34	362	24	142	137	143	188	673	117	131	451	410	427	56	459	33
Glyma.01G001000	20	13	22	32	101	13	22	63	31	31	3	41	3	19	11	56	32	132	20	15	57	42	38	8	49	9
Glyma.01G001100	6	8	16	19	78	3	9	30	39	13	4	31	5	7	11	22	19	97	5	11	36	47	16	7	49	3
Glyma.01G001200	8	3	2	6	22	3	1	8	4	36	0	10	0	12	2	2	4	20	1	1	12	5	33	0	9	2
Glyma.01G001300	44	27	71	109	375	16	28	125	96	52	16	122	11	33	35	114	118	507	29	23	157	123	71	14	145	17
Glyma.01G001600	13	1	3	8	15	2	7	12	14	8	0	9	3	21	5	5	3	28	4	2	26	20	16	1	12	1
Glyma.01G001700	16	3	5	9	24	3	6	15	19	21	6	13	0	29	6	8	7	31	3	7	15	24	13	3	21	3
Glyma.01G002100	35	14	32	34	193	10	14	46	134	19	22	78	15	23	2	41	66	208	10	11	67	173	23	45	68	26
Glyma.01G002200	13	6	14	15	48	4	14	29	62	21	7	21	19	14	0	9	8	53	5	3	24	68	18	7	34	35
Glyma.01G002400	25	2	9	10	128	6	8	63	27	7	4	74	21	24	2	6	11	173	1	10	80	38	11	7	109	16
Glyma.01G002600	2	1	7	3	16	1	4	7	2	1	2	5	1	2	2	13	5	22	3	5	15	8	5	6	16	2
Glyma.01G002700	7	2	2	1	21	0	6	7	17	6	1	13	1	1	4	5	8	18	1	10	5	16	5	7	18	5
Glyma.01G003000	7	4	7	3	18	3	5	16	84	4	1	49	46	6	3	4	2	18	0	3	18	98	5	3	36	59
Glyma.01G003100	10	7	3	13	31	2	13	21	28	12	6	26	4	12	11	8	10	44	6	10	27	40	8	3	25	2
Glyma.01G003700	18	4	4	12	17	4	12	12	21	8	3	22	18	26	5	9	9	29	1	14	33	46	11	2	27	42
Glyma.01G003800	7	1	4	1	13	2	2	7	9	8	1	8	0	18	4	2	1	10	1	2	18	15	12	3	3	1
Glyma.01G004100	17	28	23	33	219	45	32	164	85	170	16	109	15	18	26	32	32	224	40	36	151	74	212	26	108	22
Glyma.01G004200	5	23	56	13	62	15	25	89	27	352	4	38	4	9	20	88	32	108	15	16	82	27	455	7	59	3
