RNA_rt3:Cortex	RNA_rt3:Endodermis	RNA_rt3:Epidermis	RNA_rt3:Pericycle	RNA_rt3:Phloem	RNA_rt3:Procambium	RNA_rt3:Root_hair	RNA_rt3:Xylem	RNA_rt4:Cortex	RNA_rt4:Endodermis	RNA_rt4:Epidermis	RNA_rt4:Pericycle	RNA_rt4:Phloem	RNA_rt4:Procambium	RNA_rt4:Root_hair	RNA_rt4:Xylem
Glyma.01G000100	41	11	14	4	0	12	2	2	68	10	29	10	6	36	0	1
Glyma.01G000322	39	11	27	6	1	15	1	1	86	32	48	13	6	38	4	0
Glyma.01G000400	19	2	22	2	0	9	0	0	30	5	25	1	6	7	3	0
Glyma.01G000600	57	10	50	9	2	18	2	0	127	25	90	8	1	36	10	1
Glyma.01G000900	451	80	384	39	2	137	29	0	898	181	632	78	23	414	48	14
Glyma.01G001000	39	6	34	3	1	7	2	2	81	14	88	11	3	32	15	3
Glyma.01G001300	63	8	45	8	1	18	5	2	113	24	89	12	2	62	9	5
Glyma.01G001600	23	9	19	3	0	13	3	0	47	15	39	5	1	14	7	2
Glyma.01G001700	30	3	25	4	0	5	4	0	58	10	29	4	1	17	2	2
Glyma.01G002100	45	9	19	4	1	22	2	1	74	7	32	4	2	33	6	3
Glyma.01G002200	37	5	28	8	1	10	5	1	81	6	39	7	3	28	5	8
Glyma.01G002400	26	4	6	2	0	1	0	1	62	3	13	6	0	7	1	0
Glyma.01G003100	19	2	13	0	0	4	1	0	30	4	25	2	0	10	1	0
Glyma.01G003700	13	3	21	3	2	5	6	0	35	4	16	1	1	7	4	2
Glyma.01G003800	14	2	25	0	0	11	3	0	50	9	28	4	4	14	4	2
Glyma.01G004100	64	5	62	11	2	17	31	0	147	18	100	20	7	58	50	5
Glyma.01G004200	19	4	19	5	10	16	3	4	52	11	26	5	11	50	9	2
Glyma.01G004300	135	14	50	9	16	32	10	19	172	27	83	10	33	73	19	31
Glyma.01G004500	101	24	80	19	9	28	7	1	191	37	141	29	9	100	23	4
Glyma.01G005000	170	12	171	8	8	26	26	2	300	23	293	20	26	61	40	12
Glyma.01G005300	52	2	27	4	3	1	7	6	76	10	36	2	9	15	15	12
Glyma.01G005400	35	2	38	0	0	7	6	0	58	9	54	4	3	20	12	0
Glyma.01G006000	145	8	129	6	2	13	6	1	268	24	238	16	18	29	17	4
Glyma.01G006100	101	25	78	18	1	41	7	1	233	56	145	42	5	117	14	5
Glyma.01G006200	688	29	371	20	39	75	17	15	996	96	574	64	92	180	55	57
Glyma.01G006400	40	7	32	2	0	14	2	1	80	16	62	11	5	23	10	0
Glyma.01G006500	469	80	210	63	6	99	14	0	882	123	397	113	19	240	20	17
Glyma.01G006600	59	13	45	8	4	20	6	0	77	34	92	17	1	35	8	0
Glyma.01G006700	13	5	4	16	2	7	0	0	36	15	9	24	1	10	0	1
Glyma.01G006900	30	0	27	5	1	8	6	0	91	13	63	6	8	11	11	2
Glyma.01G007200	19	3	28	2	1	7	5	0	34	10	38	2	0	19	3	1
Glyma.01G007300	37	8	27	1	2	15	2	1	60	11	44	3	1	18	6	2
Glyma.01G007400	20	3	14	8	0	7	0	2	56	13	25	5	4	34	1	1
Glyma.01G007700	30	6	26	0	0	4	11	4	65	16	53	5	5	24	15	2
Glyma.01G008400	95	14	61	6	7	13	6	2	153	35	103	11	12	58	12	13
Glyma.01G008500	355	24	204	26	15	76	17	3	613	50	292	53	42	197	30	15
Glyma.01G008600	93	9	66	9	1	17	7	2	180	16	111	15	6	56	22	1
Glyma.01G008700	49	8	31	7	2	21	3	1	117	23	39	23	0	49	6	0
Glyma.01G008800	21	3	9	4	0	6	1	0	35	2	30	5	1	6	3	4
Glyma.01G008900	51	6	49	8	0	21	6	2	123	29	70	11	6	77	10	5
Glyma.01G009300	118	14	97	5	1	26	3	4	164	20	150	19	0	66	12	2
Glyma.01G009400	40	4	31	6	3	7	1	1	85	7	63	2	5	25	4	1
Glyma.01G009900	32	2	14	6	1	7	2	0	53	5	43	5	0	9	6	0
Glyma.01G010100	21	7	10	4	1	3	0	1	54	13	27	5	1	24	2	2
Glyma.01G010300	104	44	53	25	10	28	6	3	180	85	100	43	10	84	21	10
Glyma.01G010400	94	19	67	4	5	28	10	3	223	43	161	17	8	86	35	6
Glyma.01G010500	36	11	22	2	1	15	25	1	104	15	53	6	3	31	51	0
Glyma.01G010600	22	3	15	7	8	2	7	3	37	5	28	3	4	11	4	3
Glyma.01G010800	74	14	50	9	1	28	2	1	135	33	99	22	4	50	7	2
Glyma.01G010900	82	14	65	9	1	11	3	0	120	29	122	10	0	27	8	0
Glyma.01G011100	18	7	23	4	0	8	4	2	56	10	38	9	3	19	9	5
Glyma.01G011200	56	10	74	11	3	26	13	1	125	31	124	17	12	75	18	4
Glyma.01G011900	84	9	22	0	0	4	3	0	147	34	35	7	1	13	1	1
Glyma.01G012300	43	5	47	4	0	14	5	1	91	25	90	10	3	30	5	8
Glyma.01G012400	19	0	22	2	0	6	2	1	33	2	29	5	3	5	5	1
Glyma.01G012500	120	23	89	18	7	38	14	1	224	62	139	27	9	93	18	3
Glyma.01G012700	47	11	35	7	5	21	2	0	108	11	55	10	4	41	9	1
Glyma.01G013600	56	8	40	5	3	14	4	0	125	32	88	8	1	51	4	4
Glyma.01G013800	30	3	13	7	2	6	0	0	40	10	29	4	3	34	2	0
Glyma.01G013900	49	4	25	3	2	17	7	0	98	7	48	10	5	27	12	0
Glyma.01G014000	33	0	26	2	1	8	21	0	65	5	28	0	2	15	31	4
Glyma.01G014200	105	1	120	1	2	17	15	1	214	16	186	6	2	42	39	5
Glyma.01G014400	29	1	20	7	2	14	1	0	71	9	56	8	1	24	3	0
Glyma.01G014500	19	4	12	1	1	15	0	0	30	11	27	4	0	23	1	0
Glyma.01G014700	76	14	74	2	0	17	17	1	133	25	70	5	2	25	33	2
Glyma.01G014900	12	1	18	2	0	8	2	0	27	8	20	3	1	8	1	0
Glyma.01G015000	288	48	301	28	8	88	23	1	631	119	496	74	29	260	69	13
Glyma.01G015100	23	5	12	2	0	5	4	0	34	5	35	5	3	9	1	1
Glyma.01G015400	16	5	1	2	2	9	0	1	46	19	5	6	8	37	6	3
Glyma.01G015500	54	6	31	6	2	3	5	4	76	16	50	7	9	40	13	6
Glyma.01G015600	47	9	34	5	1	13	11	4	106	16	84	11	1	34	14	1
Glyma.01G015700	11	2	17	1	0	4	0	0	28	9	18	2	3	19	2	1
Glyma.01G015900	31	4	26	6	4	7	1	0	42	9	40	2	1	21	8	2
Glyma.01G016100	35	2	25	0	2	5	0	0	64	6	37	5	1	38	5	2
Glyma.01G016200	9	4	18	0	0	3	0	0	26	0	12	1	1	3	1	2
Glyma.01G016300	24	3	15	2	0	3	1	0	33	4	10	1	1	6	0	1
Glyma.01G016400	43	7	44	7	0	12	3	0	83	17	69	7	4	33	5	5
Glyma.01G016800	77	14	76	5	4	32	11	4	169	31	121	20	12	73	7	3
Glyma.01G016900	36	6	34	3	3	8	4	2	71	13	66	5	4	22	3	1
Glyma.01G017000	75	8	80	15	4	27	3	2	130	24	121	15	6	50	7	3
Glyma.01G017100	238	36	223	16	3	31	14	2	469	76	327	35	8	96	27	9
Glyma.01G017700	321	21	383	40	20	72	24	2	550	88	621	67	65	219	44	15
Glyma.01G017800	6	11	15	4	2	7	3	1	36	7	19	2	7	19	4	1
Glyma.01G018100	26	24	24	186	19	71	4	1	101	45	55	379	185	238	15	5
Glyma.01G018400	75	24	61	19	3	20	5	0	114	30	79	14	17	51	14	3
Glyma.01G018700	27	3	34	0	2	4	7	1	54	7	52	3	0	24	8	3
Glyma.01G018800	62	7	88	4	5	12	1	4	131	9	178	6	16	42	13	5
Glyma.01G019100	76	4	50	5	0	8	3	0	108	10	77	2	2	15	3	5
Glyma.01G019200	876	45	1147	23	10	79	52	7	1701	119	2020	38	19	168	97	12
Glyma.01G019400	118	60	41	15	9	39	3	6	208	106	114	25	16	111	18	22
Glyma.01G019800	323	65	306	8	9	37	19	1	536	151	433	20	15	103	24	17
Glyma.01G019900	17	6	24	1	0	4	0	0	60	16	39	2	1	19	4	0
Glyma.01G020100	134	19	136	9	2	21	7	1	272	62	240	21	13	73	21	19
Glyma.01G020300	58	8	41	7	0	16	4	0	96	21	80	9	3	41	11	1
Glyma.01G021400	57	13	46	7	0	19	5	2	121	20	100	18	3	64	18	3
Glyma.01G021600	22	3	13	1	4	4	1	2	40	4	21	0	6	10	5	2
Glyma.01G022100	119	3	66	4	9	16	20	8	203	18	131	8	38	34	42	32
Glyma.01G022400	50	66	124	4	0	17	12	0	101	110	207	4	2	29	18	0
Glyma.01G022500	29	2	4	1	2	28	2	1	45	2	10	1	3	66	5	4
Glyma.01G022600	54	23	27	2	1	11	2	0	108	33	38	5	3	16	7	0
Glyma.01G022700	16	14	6	3	0	12	1	0	39	37	14	3	0	28	4	3
Glyma.01G022800	21	7	16	2	0	9	0	0	36	12	18	2	0	18	4	2
Glyma.01G023000	46	6	62	4	3	21	8	2	74	11	92	10	5	46	14	5
Glyma.01G023200	48	7	37	7	4	10	3	0	86	16	68	13	5	30	11	3
Glyma.01G023500	28	20	11	3	2	13	2	0	55	25	17	14	5	41	3	0
Glyma.01G023600	66	11	52	10	3	27	5	1	119	33	81	14	1	78	14	3
Glyma.01G023700	42	8	33	4	0	5	3	0	58	15	49	7	0	17	7	3
Glyma.01G023900	43	9	31	3	0	15	5	1	62	12	67	9	0	27	3	1
Glyma.01G024000	189	39	65	67	67	90	126	7	331	78	151	65	94	221	212	16
Glyma.01G024600	31	6	21	2	0	12	2	3	39	7	32	3	7	14	4	6
Glyma.01G025100	154	23	23	11	8	36	10	9	237	41	65	17	28	85	17	18
Glyma.01G025500	21	1	22	0	0	5	0	0	73	7	43	6	1	4	5	0
Glyma.01G025600	23	2	28	2	0	4	2	1	61	9	47	7	0	10	8	4
Glyma.01G025800	499	66	232	76	19	159	11	0	882	166	410	147	56	442	31	12
Glyma.01G026000	32	4	23	3	0	9	2	0	49	15	45	4	0	33	4	0
Glyma.01G026100	28	1	15	1	3	3	6	7	55	6	26	3	19	16	8	25
Glyma.01G026200	91	22	73	15	3	30	3	1	174	42	133	44	4	72	4	4
Glyma.01G026500	20	5	20	3	0	8	1	1	45	3	29	0	5	18	7	0
Glyma.01G026700	26	3	15	1	1	9	3	0	72	16	29	5	4	16	2	2
Glyma.01G027300	80	11	59	3	5	23	7	5	183	33	129	16	10	36	16	6
Glyma.01G027700	18	5	19	1	1	9	3	2	51	11	30	4	1	11	8	4
Glyma.01G028100	66	10	101	0	4	16	3	1	131	15	145	5	5	26	4	4
Glyma.01G028700	21	42	10	6	1	23	3	0	76	90	24	5	9	48	5	3
Glyma.01G028800	19	11	10	3	2	16	2	1	51	15	16	9	1	20	9	3
Glyma.01G028900	52	6	33	3	3	11	5	1	76	16	84	7	3	36	9	7
Glyma.01G029000	39	5	28	2	5	11	2	0	58	7	35	1	3	27	15	7
Glyma.01G029100	48	5	49	1	0	14	5	3	106	25	77	12	3	25	14	3
Glyma.01G029200	260	17	84	6	38	40	42	40	423	24	131	20	88	88	82	97
Glyma.01G029400	21	3	14	1	3	4	2	3	37	0	20	0	3	8	7	9
Glyma.01G029500	66	3	73	8	4	15	5	1	124	24	96	16	8	29	13	4
Glyma.01G029600	50	8	35	2	2	8	15	2	88	19	58	5	6	27	30	2
Glyma.01G029800	73	9	59	7	6	16	18	8	184	36	123	13	18	82	34	15
Glyma.01G030300	98	5	37	3	2	10	44	2	169	33	74	12	6	32	80	3
Glyma.01G030400	51	4	45	17	2	18	5	1	119	20	76	19	5	59	16	4
Glyma.01G030600	31	4	30	5	6	13	6	4	71	11	56	14	8	31	9	9
Glyma.01G030800	132	21	87	10	6	30	10	6	253	39	200	25	10	83	27	6
Glyma.01G031400	552	140	386	76	9	303	30	0	1256	335	761	204	26	858	92	28
Glyma.01G031500	45	2	30	2	0	9	4	1	137	5	64	2	0	25	17	1
Glyma.01G031700	17	15	5	3	0	2	2	1	25	19	15	12	3	10	2	6
Glyma.01G031800	52	14	80	23	2	10	4	0	92	37	156	31	6	19	20	4
Glyma.01G031900	174	35	87	30	1	68	11	4	319	79	176	61	10	164	28	5
Glyma.01G032100	104	14	94	8	0	34	7	2	181	42	181	27	14	78	20	5
Glyma.01G032500	62	11	52	7	1	13	5	7	122	28	89	15	8	66	19	9
Glyma.01G032900	18	1	40	1	0	6	1	1	51	6	49	6	1	25	4	0
Glyma.01G033000	35	2	35	1	0	19	2	0	78	9	72	9	1	32	8	1
Glyma.01G033300	62	5	99	15	2	20	4	0	131	28	136	18	1	40	16	4
Glyma.01G033400	74	6	78	6	2	18	8	1	138	24	149	12	6	52	9	2
Glyma.01G034300	13	3	30	0	0	8	2	3	47	3	48	7	1	25	1	0
Glyma.01G035100	26	10	34	4	0	7	6	1	64	26	54	4	1	26	8	1
Glyma.01G036200	143	29	99	11	1	43	9	0	266	51	200	23	0	114	10	6
Glyma.01G036500	123	26	90	9	2	25	15	0	229	45	144	16	5	61	17	2
Glyma.01G036700	33	5	33	2	0	1	2	2	59	13	50	5	3	13	4	5
Glyma.01G036800	24	0	28	1	0	1	7	0	24	8	34	0	0	3	11	0
Glyma.01G036900	6	3	5	7	14	19	2	0	16	16	15	8	27	28	4	2
Glyma.01G037200	51	16	55	2	4	15	88	3	96	27	100	7	12	13	125	3
Glyma.01G037300	20	5	17	1	0	4	1	0	45	8	23	9	2	14	7	1
Glyma.01G037400	21	4	17	2	0	6	1	0	27	8	25	1	1	17	3	0
Glyma.01G037700	46	5	33	0	0	16	2	1	107	6	47	3	3	30	2	2
Glyma.01G037900	32	12	32	7	2	10	10	3	86	14	53	7	2	32	25	3
Glyma.01G038100	39	4	25	7	1	8	3	0	57	18	38	6	2	31	8	0
Glyma.01G038250	30	4	24	3	1	11	1	0	63	6	62	8	1	23	4	2
Glyma.01G038300	125	20	135	11	0	35	5	1	277	55	207	18	7	96	11	4
Glyma.01G038600	14	0	3	12	3	20	0	2	18	2	3	10	9	39	2	1
Glyma.01G038700	66	8	62	6	2	26	8	2	124	24	100	12	3	42	7	2
Glyma.01G038800	87	14	94	10	6	27	7	4	165	34	149	25	5	49	18	7
Glyma.01G039500	12	1	18	4	1	10	3	1	37	3	33	6	0	18	2	6
Glyma.01G040000	40	3	18	2	3	5	2	1	59	8	39	5	3	13	3	4
Glyma.01G040400	597	28	499	51	7	76	38	5	1148	82	822	64	25	207	110	12
Glyma.01G040900	37	11	69	5	2	18	41	0	100	24	102	8	1	76	88	1
Glyma.01G041300	56	10	40	6	2	21	4	1	87	17	63	10	4	54	7	6
Glyma.01G041651	17	3	11	1	3	2	4	3	26	7	40	3	1	3	4	1
Glyma.01G042300	148	23	80	13	6	19	2	1	238	46	122	20	5	91	8	6
Glyma.01G042400	27	4	15	5	0	2	0	0	55	10	41	5	3	14	6	1
Glyma.01G042800	72	13	66	9	4	16	9	2	152	31	115	12	11	57	22	14
Glyma.01G043800	20	0	14	2	2	9	2	0	28	3	18	4	3	24	2	0
Glyma.01G044100	194	49	128	23	9	72	16	2	330	96	207	48	5	167	42	4
Glyma.01G044200	34	7	27	3	2	12	11	1	64	13	49	8	1	16	17	1
Glyma.01G044300	34	2	3	3	3	47	2	2	65	3	13	9	1	78	3	5
Glyma.01G045100	291	25	199	18	7	80	24	1	486	74	322	42	20	234	50	6
Glyma.01G045200	15	1	35	6	2	4	3	1	25	2	43	7	3	12	5	1
Glyma.01G045700	14	4	15	0	1	1	3	1	41	3	27	3	2	15	4	3
Glyma.01G045800	64	12	22	14	2	9	13	0	121	20	34	18	5	27	15	4
Glyma.01G046400	269	49	228	5	1	15	8	0	421	74	395	12	4	57	25	14
Glyma.01G046500	72	8	86	5	1	8	9	4	201	26	142	6	0	34	31	0
Glyma.01G046700	27	1	19	1	1	10	2	4	46	6	34	5	1	30	18	3
Glyma.01G047000	282	13	92	9	36	21	17	32	410	33	134	14	82	90	68	66
Glyma.01G047100	131	19	111	8	2	31	10	1	239	37	160	27	1	68	12	4
Glyma.01G047300	27	2	20	5	0	7	0	0	26	14	35	6	0	26	1	0
Glyma.01G047700	89	7	77	7	4	15	15	2	163	24	136	12	3	40	25	11
Glyma.01G048500	207	17	257	3	2	22	33	1	376	42	476	14	5	97	77	12
Glyma.01G050400	57	11	21	3	1	15	6	1	113	28	67	5	1	44	14	4
Glyma.01G051300	227	19	285	14	4	32	13	3	398	45	471	27	11	80	29	4
Glyma.01G051400	389	71	300	52	4	151	26	3	758	184	544	93	26	465	60	29
Glyma.01G052200	18	3	21	3	1	10	2	1	36	14	37	6	4	9	1	1
Glyma.01G052400	43	6	41	3	2	15	5	1	89	14	77	11	8	31	15	1
Glyma.01G052600	34	5	62	0	1	19	5	0	57	11	117	10	3	23	4	2
Glyma.01G052800	20	2	15	2	1	9	2	1	33	8	28	3	2	14	5	3
Glyma.01G053200	28	3	19	3	2	14	2	0	60	11	33	13	2	15	2	3
Glyma.01G053300	24	1	7	1	0	15	1	2	49	5	16	5	2	28	3	0
Glyma.01G053800	68	10	60	3	0	18	5	0	118	8	123	12	6	32	9	2
Glyma.01G054200	24	7	26	2	2	7	2	3	47	5	43	7	3	23	3	6
Glyma.01G054800	24	5	20	3	2	7	1	0	56	5	31	4	3	16	3	2
Glyma.01G055300	29	3	21	6	0	6	0	0	54	12	26	8	2	28	3	0
Glyma.01G056300	88	17	45	16	2	34	4	0	151	30	88	28	4	76	13	4
Glyma.01G056800	47	6	25	18	4	30	3	0	86	22	36	18	3	50	4	6
Glyma.01G057100	41	9	14	6	2	7	7	2	62	12	34	4	3	13	11	6
Glyma.01G057400	46	5	30	1	1	15	3	0	75	10	53	6	2	19	5	2
Glyma.01G057500	25	4	23	2	2	12	3	0	31	14	24	6	3	24	3	3
Glyma.01G058000	51	1	34	2	2	9	2	3	72	7	52	6	3	26	5	5
Glyma.01G058200	22	5	17	2	1	6	1	0	41	7	41	8	2	16	2	0
Glyma.01G058300	31	2	8	1	3	17	1	0	46	5	11	6	7	36	3	4
Glyma.01G058500	131	8	135	9	2	15	6	1	219	20	195	13	5	48	7	6
Glyma.01G059200	37	3	41	2	0	7	5	0	77	16	76	7	2	36	12	1
Glyma.01G060300	17	3	6	8	1	6	1	0	38	4	15	5	0	22	14	1
Glyma.01G060700	116	16	108	12	1	35	6	1	257	48	182	33	1	109	17	4
Glyma.01G060900	127	5	25	1	30	5	17	18	161	10	53	9	61	23	12	43
Glyma.01G061500	213	47	237	29	3	64	18	4	480	81	417	51	16	180	30	3
Glyma.01G061700	119	30	78	11	6	43	8	2	268	44	148	14	8	120	15	7
Glyma.01G061800	24	4	29	2	1	3	16	0	54	11	40	4	2	18	47	0
Glyma.01G062000	26	3	18	4	1	7	0	0	52	10	50	1	7	17	7	0
Glyma.01G063000	99	13	42	14	6	33	15	9	189	27	80	11	8	49	24	7
Glyma.01G063600	97	13	90	21	1	30	2	2	202	46	156	16	8	100	10	4
Glyma.01G063700	35	11	14	15	1	17	1	0	62	24	17	27	3	34	2	1
Glyma.01G064400	69	10	67	5	0	14	11	0	159	17	131	19	0	58	19	4
Glyma.01G064600	151	23	71	21	5	29	17	1	221	58	125	36	9	69	27	3
Glyma.01G064900	33	4	61	4	3	2	2	1	101	9	94	8	0	15	10	5
Glyma.01G065100	42	9	37	8	1	23	4	0	100	11	85	8	2	39	8	3
Glyma.01G066600	16	6	19	0	0	6	2	1	31	4	20	2	1	14	1	1
Glyma.01G067000	70	6	47	9	2	17	10	2	135	14	90	16	7	45	15	6
Glyma.01G067100	13	5	6	4	3	10	0	0	26	9	12	9	7	29	1	2
Glyma.01G068000	48	11	34	7	3	23	5	0	113	27	65	11	1	58	12	5
Glyma.01G068600	21	7	14	4	0	25	2	1	62	12	27	1	5	43	6	0
Glyma.01G068800	57	10	46	4	1	13	10	0	128	16	87	10	3	30	6	1
Glyma.01G069000	20	5	22	0	5	4	47	12	44	5	22	0	4	6	31	8
Glyma.01G070400	78	15	43	12	0	13	1	0	155	41	78	33	4	36	4	2
Glyma.01G070700	14	4	16	1	1	4	2	0	33	3	33	1	0	13	7	0
Glyma.01G071300	920	191	386	153	43	315	126	18	1603	456	673	180	106	686	237	83
Glyma.01G071700	4	10	6	18	4	37	1	1	33	23	13	30	10	77	3	4
Glyma.01G072900	34	3	28	6	3	6	1	0	42	4	29	4	2	4	1	1
Glyma.01G073000	186	36	154	30	4	61	12	1	403	76	257	44	9	136	15	5
Glyma.01G074400	97	10	79	12	1	26	7	0	167	34	112	22	1	78	17	6
Glyma.01G074500	41	20	40	3	2	14	8	1	114	23	83	7	2	30	20	4
Glyma.01G074600	29	2	39	0	0	2	5	0	59	4	59	0	2	6	8	0
Glyma.01G074000	465	77	440	61	7	194	33	1	988	233	773	95	20	449	86	2
Glyma.01G073400	38	9	93	6	1	25	8	0	121	55	144	12	3	75	12	4
Glyma.01G074700	68	5	67	13	1	30	5	0	158	39	111	18	1	95	12	1
Glyma.01G075300	30	3	40	3	1	10	0	0	35	9	44	11	1	22	8	0
Glyma.01G075400	81	12	95	8	2	28	3	1	169	29	148	19	2	88	12	1
Glyma.01G076100	40	8	43	3	0	9	1	0	79	9	75	4	0	23	3	0
Glyma.01G077200	329	54	280	37	11	115	18	1	678	111	453	58	12	278	57	8
Glyma.01G077300	84	15	63	21	2	43	6	1	169	39	113	21	3	74	12	6
Glyma.01G077400	211	32	186	23	5	81	19	2	431	90	312	36	6	234	31	4
Glyma.01G077600	18	4	20	3	0	8	3	1	56	2	29	10	2	14	7	1
Glyma.01G079100	98	4	103	4	3	13	11	0	186	27	177	7	4	45	11	6
Glyma.01G079200	62	10	32	4	6	10	2	3	97	13	67	6	5	43	5	0
Glyma.01G079300	162	9	140	12	2	29	14	1	255	20	220	16	1	37	39	3
Glyma.01G079500	26	9	11	4	6	14	0	0	66	17	17	22	7	52	0	4
Glyma.01G080200	56	5	39	4	5	13	8	9	114	19	54	14	11	27	19	9
Glyma.01G080500	187	28	124	21	19	50	36	5	340	49	192	30	33	112	33	3
Glyma.01G080600	45	6	40	6	2	14	1	0	80	18	64	12	3	30	7	0
Glyma.01G080700	103	15	41	9	2	34	1	1	128	29	80	21	2	66	4	4
Glyma.01G081100	32	1	33	6	2	14	3	5	48	10	33	4	2	18	4	2
Glyma.01G081500	198	26	146	15	9	65	17	2	368	47	232	38	23	149	44	8
Glyma.01G081900	3	69	1	1	0	8	0	0	14	154	4	2	0	25	1	3
Glyma.01G082200	138	24	116	15	4	36	8	0	248	65	207	26	10	106	19	6
Glyma.01G082400	478	68	230	43	10	116	27	5	719	135	398	67	28	269	81	21
Glyma.01G082500	34	3	16	4	0	6	1	2	65	10	18	7	4	21	2	5
Glyma.01G082700	339	62	293	37	9	112	19	3	715	127	587	66	11	305	47	14
Glyma.01G083000	35	4	36	3	4	18	55	2	98	8	54	12	8	53	95	2
Glyma.01G083400	46	2	60	2	1	5	1	1	91	11	96	10	4	21	8	1
Glyma.01G083500	43	2	45	2	1	8	4	0	106	13	84	4	1	23	4	1
Glyma.01G083700	22	6	21	3	0	5	1	0	47	12	49	9	0	14	4	0
Glyma.01G084500	33	9	20	3	2	29	1	1	56	23	29	4	2	89	1	6
Glyma.01G084700	21	1	12	3	3	5	1	0	43	5	20	1	2	13	6	0
Glyma.01G086000	18	4	23	2	0	6	2	0	40	9	15	4	2	16	7	1
Glyma.01G086201	647	98	676	63	5	209	43	5	1396	319	1119	152	19	589	84	21
Glyma.01G086600	317	79	168	29	5	105	7	2	637	203	294	48	1	254	27	5
Glyma.01G086700	31	5	36	1	2	8	13	0	67	14	60	4	2	28	27	3
Glyma.01G086900	135	6	110	5	0	14	13	1	249	20	157	4	1	41	17	8
Glyma.01G087500	265	23	274	30	10	35	7	3	574	57	429	71	27	164	29	21
Glyma.01G087700	59	17	44	18	1	26	3	0	141	46	59	33	4	91	2	3
Glyma.01G088200	12	4	14	1	3	7	3	0	31	6	26	7	2	11	2	2
Glyma.01G089100	57	7	40	9	2	12	7	1	88	7	85	5	9	31	11	4
Glyma.01G089500	74	13	39	4	2	23	3	3	108	20	61	11	4	57	11	2
Glyma.01G089900	79	18	58	10	0	19	5	3	153	28	113	19	1	71	19	4
Glyma.01G090002	16	0	19	1	1	13	1	0	40	11	25	6	3	30	5	0
Glyma.01G092100	18	3	14	1	0	4	0	0	34	2	17	1	2	10	0	0
Glyma.01G092400	54	17	40	7	5	28	2	0	116	29	60	17	3	71	7	4
