"","fam.x","count_not_expressed","count_mono_expressed","has_recent_WGD_in_not_expressed","coexpression_mean","coexpression_sd","log2FC_mean_mean","log2FC_mean_sd","log2FC_sd_mean","log2FC_sd_sd","set_expression"
"1","Legume.fam3.00127",1,4,TRUE,0.86048520624865,NA,1.58483290798578,NA,0.878420502478677,NA,"recent_WGD_non_expressed"
"2","Legume.fam3.00230",3,3,TRUE,NA,NA,NA,NA,NA,NA,"one expressed"
"3","Legume.fam3.00318",6,0,TRUE,NA,NA,NA,NA,NA,NA,"not expressed"
"4","Legume.fam3.00353",1,4,TRUE,0.462907638039018,NA,0.944078892786117,NA,1.07163351221165,NA,"recent_WGD_non_expressed"
"5","Legume.fam3.00356",6,0,TRUE,NA,NA,NA,NA,NA,NA,"not expressed"
"6","Legume.fam3.00375",0,3,FALSE,0.347335205048833,0.482448858305745,1.83991073798498,1.09040886626306,1.01089453538417,0.377428295736238,"three expressed"
"7","Legume.fam3.00376",3,3,TRUE,NA,NA,NA,NA,NA,NA,"one expressed"
"8","Legume.fam3.00382",3,3,TRUE,NA,NA,NA,NA,NA,NA,"one expressed"
"9","Legume.fam3.00391",0,0,FALSE,0.621859477359441,0.382725025032525,1.35676267480251,0.615926967128545,0.929913478075998,0.262815493607049,"four expressed"
"10","Legume.fam3.00463",1,4,TRUE,0.954250953855014,NA,1.17369069949583,NA,0.512820959043698,NA,"recent_WGD_non_expressed"
"11","Legume.fam3.00470",0,0,FALSE,0.895498884169606,0.113111300771539,1.62194624090024,0.68020140854627,1.34410535941146,0.403329043166754,"four expressed"
"12","Legume.fam3.00476",0,0,FALSE,0.588174597461186,0.344289557684085,1.0807224817637,0.656964520638136,0.50690233108893,0.0800481247464122,"four expressed"
"13","Legume.fam3.00481",6,0,TRUE,NA,NA,NA,NA,NA,NA,"not expressed"
"14","Legume.fam3.00486",3,3,TRUE,NA,NA,NA,NA,NA,NA,"one expressed"
"15","Legume.fam3.00502",1,4,TRUE,0.999946008206753,NA,0.383754707342242,NA,0.393326631547891,NA,"recent_WGD_non_expressed"
"16","Legume.fam3.00505",0,3,FALSE,0.998578216111151,0.000518183717835085,0.932263092696263,0.254400201293951,0.77821479057208,0.0561307957511875,"three expressed"
"17","Legume.fam3.00506",6,0,TRUE,NA,NA,NA,NA,NA,NA,"not expressed"
"18","Legume.fam3.00509",0,3,FALSE,0.685185851750534,0.191636333799857,1.32974809897623,0.583900866978334,0.870711045183535,0.155797640251414,"three expressed"
"19","Legume.fam3.00512",1,4,TRUE,0.806475415736808,NA,1.10401219312227,NA,1.17740281684487,NA,"recent_WGD_non_expressed"
"20","Legume.fam3.00515",6,0,TRUE,NA,NA,NA,NA,NA,NA,"not expressed"
"21","Legume.fam3.00517",0,0,FALSE,0.988475751685744,0.00799472167049137,1.86084710608046,0.927547438194192,0.76096117069359,0.171643998837419,"four expressed"
"22","Legume.fam3.00519",0,0,FALSE,0.576416384709524,0.338988847022088,0.916423560703475,0.505822626085942,0.589054952935314,0.19020837824692,"four expressed"
"23","Legume.fam3.00521",6,0,TRUE,NA,NA,NA,NA,NA,NA,"not expressed"
"24","Legume.fam3.00535",0,3,FALSE,0.871295563074413,0.110280013311073,1.74588354525107,0.326200658904382,1.47396687157319,0.469518917773238,"three expressed"
"25","Legume.fam3.00536",0,3,FALSE,0.457646437741463,0.408673518980117,1.38639230701867,0.536239064448718,0.960278434228897,0.307188923127461,"three expressed"
"26","Legume.fam3.00540",0,0,FALSE,0.693800542317568,0.239775149076336,0.62663906512235,0.122246419177915,0.676438472911863,0.116912898185949,"four expressed"
"27","Legume.fam3.00541",0,0,FALSE,0.489210639982723,0.331081969984339,0.525454041597278,0.145519970148839,0.477301037749566,0.0668308455431521,"four expressed"
