"","Em_innitials","Endosperm","SC_endothelium","SC_epidermis","SC_hillum_parenchyma","SC_hillum_vasculature","SC_inner_integument","SC_parenchyma","SC_phloem"
"Legume.fam3.00391_Glyma.03G254800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00391_Glyma.19G252500",0,0,0,0,0,0,0,0,0
"Legume.fam3.00391_Glyma.16G029600",0,1,0,0,0,0,0,0,0
"Legume.fam3.00391_Glyma.07G061000",0,1,0,0,0,0,0,0,0
"Legume.fam3.00470_Glyma.08G283600",0,0,0,0,0,1,0,0,1
"Legume.fam3.00470_Glyma.18G142900",0,1,0,0,0,0,0,0,0
"Legume.fam3.00470_Glyma.01G027800",0,0,0,0,0,1,0,0,1
"Legume.fam3.00470_Glyma.02G037400",0,0,0,0,0,0,0,0,1
"Legume.fam3.00517_Glyma.04G202100",0,0,0,1,0,0,0,0,0
"Legume.fam3.00517_Glyma.06G163500",0,0,0,1,0,0,0,0,0
"Legume.fam3.00517_Glyma.05G200000",0,0,0,1,0,0,0,0,0
"Legume.fam3.00517_Glyma.08G007400",0,0,0,1,0,0,0,0,0
"Legume.fam3.00519_Glyma.07G257300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00519_Glyma.17G016800",0,0,1,0,0,0,0,0,0
"Legume.fam3.00519_Glyma.13G208400",1,0,0,0,0,0,0,0,0
"Legume.fam3.00519_Glyma.15G104400",0,0,0,0,0,0,0,0,0
"Legume.fam3.00540_Glyma.07G007700",0,0,0,0,0,0,0,0,0
"Legume.fam3.00540_Glyma.08G190400",0,0,0,0,0,0,1,0,0
"Legume.fam3.00540_Glyma.15G025800",0,1,0,0,0,0,0,0,0
"Legume.fam3.00540_Glyma.13G348200",0,0,1,0,0,0,0,0,0
"Legume.fam3.00546_Glyma.15G167500",0,0,0,0,0,0,0,0,0
"Legume.fam3.00546_Glyma.09G061200",0,0,0,0,0,0,0,1,0
"Legume.fam3.00546_Glyma.13G101700",0,1,0,0,0,0,0,0,0
"Legume.fam3.00546_Glyma.17G057800",0,0,0,0,0,0,0,1,0
"Legume.fam3.00575_Glyma.06G191400",0,0,0,0,0,0,0,1,0
"Legume.fam3.00575_Glyma.04G172900",0,1,0,0,0,0,0,0,0
"Legume.fam3.00575_Glyma.17G098300",0,0,1,0,0,0,1,0,0
"Legume.fam3.00575_Glyma.05G028500",0,1,0,0,0,0,0,0,0
"Legume.fam3.00578_Glyma.01G156700",0,0,0,0,0,1,0,1,0
"Legume.fam3.00578_Glyma.11G088000",0,1,0,0,0,0,0,0,0
"Legume.fam3.00578_Glyma.16G113000",0,0,0,0,0,0,0,1,0
"Legume.fam3.00578_Glyma.09G196000",0,0,0,0,0,0,0,0,0
"Legume.fam3.00595_Glyma.08G209100",0,0,0,0,0,0,0,0,0
"Legume.fam3.00595_Glyma.07G033100",0,0,0,0,0,0,0,0,0
"Legume.fam3.00595_Glyma.13G362300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00595_Glyma.15G011500",1,0,0,0,0,0,0,0,0
"Legume.fam3.00598_Glyma.07G262600",0,1,1,0,0,0,0,0,0
"Legume.fam3.00598_Glyma.17G011500",0,0,0,0,0,0,0,0,0
"Legume.fam3.00598_Glyma.15G110200",0,1,0,0,0,0,0,0,0
"Legume.fam3.00598_Glyma.09G005600",0,1,0,0,0,0,1,0,0
"Legume.fam3.00599_Glyma.13G052900",0,0,0,0,0,0,0,1,0
"Legume.fam3.00599_Glyma.19G033900",0,0,0,0,0,1,0,0,0
"Legume.fam3.00599_Glyma.18G272300",0,0,1,0,0,0,0,0,0
"Legume.fam3.00599_Glyma.08G250000",1,0,0,0,0,1,0,0,0
"Legume.fam3.00601_Glyma.07G101800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00601_Glyma.09G177300",0,0,0,0,0,0,0,0,0
"Legume.fam3.00601_Glyma.08G052500",0,0,0,0,0,0,0,0,1
"Legume.fam3.00601_Glyma.05G244600",0,0,0,0,0,0,0,0,0
"Legume.fam3.00607_Glyma.17G204800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00607_Glyma.14G128900",0,0,0,0,0,0,0,0,0
"Legume.fam3.00607_Glyma.04G071700",0,0,0,0,0,0,0,0,0
"Legume.fam3.00607_Glyma.06G073000",0,0,0,0,0,0,1,0,0
"Legume.fam3.00616_Glyma.15G081600",0,0,0,0,0,0,0,1,0
"Legume.fam3.00616_Glyma.13G230800",0,1,0,0,0,0,0,0,1
"Legume.fam3.00616_Glyma.02G140100",0,0,0,0,0,1,0,0,0
"Legume.fam3.00616_Glyma.07G205200",0,0,0,0,1,1,0,0,0
"Legume.fam3.00649_Glyma.18G205800",0,0,0,0,0,0,0,0,0
"Legume.fam3.00649_Glyma.07G155200",0,0,0,0,0,0,0,0,0
"Legume.fam3.00649_Glyma.01G124500",0,0,0,0,0,0,1,0,0
"Legume.fam3.00649_Glyma.03G050100",0,0,0,0,0,0,0,0,0
"Legume.fam3.00655_Glyma.02G095200",0,1,0,0,0,0,0,0,0
"Legume.fam3.00655_Glyma.18G286200",0,0,0,0,0,0,0,0,0
"Legume.fam3.00655_Glyma.10G290900",0,1,0,0,0,0,0,0,0
"Legume.fam3.00655_Glyma.20G240000",0,1,0,0,0,0,0,0,0
"Legume.fam3.00658_Glyma.05G232400",0,0,0,0,0,0,1,0,0
"Legume.fam3.00658_Glyma.08G039800",0,0,0,0,0,0,1,0,0
"Legume.fam3.00658_Glyma.09G188000",0,0,0,0,0,0,0,0,0
"Legume.fam3.00658_Glyma.07G089000",0,0,0,0,0,0,0,0,0
