fam,unique_clusters,cluster_names,total_genes,clustered_genes,cluster_counts,counts,counts_sorted,pattern
Legume.fam3.00391,2,"0, 1",4,4,0:2; 1:2,,,2+2
Legume.fam3.00470,3,"1, 2, 3",4,4,1:1; 3:1; 2:2,,,2+1+1
Legume.fam3.00517,1,4,4,4,4:4,,,4
Legume.fam3.00519,3,"0, 5, 6",4,4,5:1; 6:1; 0:2,,,2+1+1
Legume.fam3.00540,4,"0, 1, 5, 7",4,4,0:1; 1:1; 5:1; 7:1,,,1+1+1+1
Legume.fam3.00546,3,"0, 1, 8",4,4,0:1; 1:1; 8:2,,,2+1+1
Legume.fam3.00575,3,"1, 8, 9",4,4,8:1; 9:1; 1:2,,,2+1+1
Legume.fam3.00578,4,"0, 1, 8, 10",4,4,0:1; 1:1; 8:1; 10:1,,,1+1+1+1
Legume.fam3.00595,2,"0, 6",4,4,6:1; 0:3,,,3+1
Legume.fam3.00598,4,"0, 1, 11, 12",4,4,0:1; 1:1; 11:1; 12:1,,,1+1+1+1
Legume.fam3.00599,4,"5, 8, 10, 13",4,4,5:1; 8:1; 10:1; 13:1,,,1+1+1+1
Legume.fam3.00601,2,"0, 3",4,4,3:1; 0:3,,,3+1
Legume.fam3.00607,2,"0, 7",4,4,7:1; 0:3,,,3+1
Legume.fam3.00616,4,"8, 10, 14, 15",4,4,8:1; 10:1; 14:1; 15:1,,,1+1+1+1
Legume.fam3.00649,2,"0, 7",4,4,7:1; 0:3,,,3+1
Legume.fam3.00655,2,"0, 1",4,4,0:1; 1:3,,,3+1
Legume.fam3.00658,2,"0, 7",4,4,0:2; 7:2,,,2+2
Legume.fam3.00664,3,"16, 17, 18",4,4,16:1; 18:1; 17:2,,,2+1+1
Legume.fam3.00688,2,"0, 1",4,4,1:1; 0:3,,,3+1
Legume.fam3.00691,4,"0, 3, 5, 8",4,4,0:1; 3:1; 5:1; 8:1,,,1+1+1+1
Legume.fam3.00699,3,"0, 4, 19",4,4,0:1; 4:1; 19:2,,,2+1+1
Legume.fam3.00702,4,"2, 3, 5, 9",4,4,2:1; 3:1; 5:1; 9:1,,,1+1+1+1
Legume.fam3.00705,3,"0, 1, 20",4,4,0:1; 20:1; 1:2,,,2+1+1
Legume.fam3.00720,3,"0, 4, 9",4,4,4:1; 9:1; 0:2,,,2+1+1
Legume.fam3.00726,3,"0, 1, 21",4,4,0:1; 21:1; 1:2,,,2+1+1
Legume.fam3.00735,4,"0, 1, 3, 7",4,4,0:1; 1:1; 3:1; 7:1,,,1+1+1+1
Legume.fam3.00744,2,"0, 7",4,4,7:1; 0:3,,,3+1
Legume.fam3.00745,2,"0, 1",4,4,1:1; 0:3,,,3+1
Legume.fam3.00759,3,"0, 1, 14",4,4,0:1; 14:1; 1:2,,,2+1+1
Legume.fam3.00761,3,"4, 17, 22",4,4,17:1; 22:1; 4:2,,,2+1+1
Legume.fam3.00765,3,"0, 4, 7",4,4,4:1; 7:1; 0:2,,,2+1+1
Legume.fam3.00766,2,"0, 7",4,4,0:2; 7:2,,,2+2
Legume.fam3.00769,2,"0, 1",4,4,1:1; 0:3,,,3+1
Legume.fam3.00781,3,"0, 1, 3",4,4,1:1; 3:1; 0:2,,,2+1+1
Legume.fam3.00783,3,"0, 7, 9",4,4,7:1; 9:1; 0:2,,,2+1+1
Legume.fam3.00799,3,"3, 8, 23",4,4,3:1; 23:1; 8:2,,,2+1+1
Legume.fam3.00805,2,"0, 1",4,4,1:1; 0:3,,,3+1
Legume.fam3.00807,2,"0, 14",4,4,14:1; 0:3,,,3+1
Legume.fam3.00811,2,"0, 1",4,4,1:1; 0:3,,,3+1
Legume.fam3.00816,2,"0, 10",4,4,10:1; 0:3,,,3+1
Legume.fam3.00845,2,"0, 7",4,4,7:1; 0:3,,,3+1
Legume.fam3.00849,4,"7, 9, 22, 24",4,4,7:1; 9:1; 22:1; 24:1,,,1+1+1+1
Legume.fam3.00861,2,"0, 7",4,4,7:1; 0:3,,,3+1
Legume.fam3.00863,2,"0, 3",4,4,0:1; 3:3,,,3+1
Legume.fam3.00865,2,"0, 5",4,4,5:1; 0:3,,,3+1
Legume.fam3.00866,3,"0, 1, 11",4,4,1:1; 11:1; 0:2,,,2+1+1
Legume.fam3.00873,4,"0, 3, 25, 26",4,4,0:1; 3:1; 25:1; 26:1,,,1+1+1+1
Legume.fam3.00883,3,"0, 8, 21",4,4,8:1; 21:1; 0:2,,,2+1+1
Legume.fam3.00886,3,"0, 6, 8",4,4,0:1; 6:1; 8:2,,,2+1+1
Legume.fam3.00888,4,"0, 4, 5, 18",4,4,0:1; 4:1; 5:1; 18:1,,,1+1+1+1
Legume.fam3.00890,4,"0, 3, 9, 10",4,4,0:1; 3:1; 9:1; 10:1,,,1+1+1+1
Legume.fam3.00900,3,"0, 3, 6",4,4,3:1; 6:1; 0:2,,,2+1+1
Legume.fam3.00901,2,"3, 23",4,4,23:1; 3:3,,,3+1
Legume.fam3.00914,3,"3, 16, 23",4,4,16:1; 23:1; 3:2,,,2+1+1
Legume.fam3.00920,2,"0, 7",4,4,7:1; 0:3,,,3+1
Legume.fam3.00923,2,"4, 20",4,4,20:1; 4:3,,,3+1
Legume.fam3.00930,2,"0, 17",4,4,17:1; 0:3,,,3+1
Legume.fam3.00937,2,"0, 1",4,4,1:1; 0:3,,,3+1
Legume.fam3.00938,3,"0, 8, 27",4,4,8:1; 27:1; 0:2,,,2+1+1
Legume.fam3.00946,3,"1, 3, 6",4,4,3:1; 6:1; 1:2,,,2+1+1
Legume.fam3.00956,2,"0, 4",4,4,0:2; 4:2,,,2+2
Legume.fam3.00957,3,"0, 1, 26",4,4,1:1; 26:1; 0:2,,,2+1+1
Legume.fam3.00963,3,"0, 3, 28",4,4,3:1; 28:1; 0:2,,,2+1+1
Legume.fam3.00976,2,"0, 9",4,4,0:2; 9:2,,,2+2
Legume.fam3.00979,2,"0, 17",4,4,17:1; 0:3,,,3+1
Legume.fam3.00983,4,"4, 10, 20, 29",4,4,4:1; 10:1; 20:1; 29:1,,,1+1+1+1
Legume.fam3.00989,3,"0, 1, 5",4,4,1:1; 5:1; 0:2,,,2+1+1
Legume.fam3.00991,3,"3, 4, 28",4,4,4:1; 28:1; 3:2,,,2+1+1
Legume.fam3.00995,2,"0, 7",4,4,7:1; 0:3,,,3+1
Legume.fam3.00996,3,"0, 6, 10",4,4,6:1; 10:1; 0:2,,,2+1+1
Legume.fam3.01005,2,"0, 9",4,4,9:1; 0:3,,,3+1
Legume.fam3.01007,4,"0, 3, 4, 10",4,4,0:1; 3:1; 4:1; 10:1,,,1+1+1+1
Legume.fam3.01008,3,"0, 7, 9",4,4,0:1; 9:1; 7:2,,,2+1+1
Legume.fam3.01014,2,"0, 1",4,4,0:2; 1:2,,,2+2
Legume.fam3.01020,2,"0, 3",4,4,0:2; 3:2,,,2+2
Legume.fam3.01021,2,"0, 4",4,4,4:1; 0:3,,,3+1
Legume.fam3.01036,2,"0, 8",4,4,8:1; 0:3,,,3+1
