fam,geneA1_extracted,geneA2_extracted,geneB1_extracted,geneB2_extracted
Legume.fam3.00127,Glyma.06G150400,Glyma.04G215600,Glyma.05G188900,Glyma.08G146600
Legume.fam3.00230,Glyma.08G159400,Glyma.15G267200,Glyma.15G267300,Glyma.08G159100
Legume.fam3.00318,Glyma.19G218800,Glyma.03G221700,Glyma.19G219000,Glyma.03G221900
Legume.fam3.00353,Glyma.15G014600,Glyma.13G359300,Glyma.07G006000,Glyma.08G206600
Legume.fam3.00356,Glyma.15G138400,Glyma.09G033700,Glyma.07G237500,Glyma.17G036100
Legume.fam3.00375,Glyma.11G230100,Glyma.18G027100,Glyma.14G059200,Glyma.02G257200
Legume.fam3.00376,Glyma.19G254000,Glyma.03G256200,Glyma.07G057900,Glyma.16G026900
Legume.fam3.00382,Glyma.09G194400,Glyma.01G146700,Glyma.08G035300,Glyma.05G228400
Legume.fam3.00391,Glyma.03G254800,Glyma.19G252500,Glyma.16G029600,Glyma.07G061000
Legume.fam3.00463,Glyma.07G266300,Glyma.17G008000,Glyma.15G115600,Glyma.09G011200
Legume.fam3.00470,Glyma.08G283600,Glyma.18G142900,Glyma.01G027800,Glyma.02G037400
Legume.fam3.00476,Glyma.05G126000,Glyma.08G081000,Glyma.15G132500,Glyma.09G026800
Legume.fam3.00481,Glyma.03G234100,Glyma.19G231500,Glyma.10G150700,Glyma.20G237800
Legume.fam3.00486,Glyma.14G153500,Glyma.13G031600,Glyma.06G116400,Glyma.04G246400
Legume.fam3.00502,Glyma.03G190200,Glyma.19G190600,Glyma.10G065600,Glyma.13G150700
Legume.fam3.00505,Glyma.14G148300,Glyma.13G081000,Glyma.06G112200,Glyma.04G250600
Legume.fam3.00506,Glyma.17G219700,Glyma.14G106200,Glyma.04G057700,Glyma.06G058400
Legume.fam3.00509,Glyma.08G074700,Glyma.05G119900,Glyma.08G180900,Glyma.15G051500
Legume.fam3.00512,Glyma.08G118000,Glyma.05G160500,Glyma.13G226900,Glyma.15G085500
Legume.fam3.00515,Glyma.18G189600,Glyma.07G139100,Glyma.01G105000,Glyma.03G072100
Legume.fam3.00517,Glyma.04G202100,Glyma.06G163500,Glyma.05G200000,Glyma.08G007400
Legume.fam3.00519,Glyma.07G257300,Glyma.17G016800,Glyma.13G208400,Glyma.15G104400
Legume.fam3.00521,Glyma.17G139400,Glyma.05G056900,Glyma.11G031500,Glyma.01G210500
Legume.fam3.00535,Glyma.17G254700,Glyma.14G216200,Glyma.04G027800,Glyma.06G028000
Legume.fam3.00536,Glyma.17G238200,Glyma.14G086300,Glyma.04G042100,Glyma.06G043000
Legume.fam3.00540,Glyma.07G007700,Glyma.08G190400,Glyma.15G025800,Glyma.13G348200
Legume.fam3.00541,Glyma.01G136300,Glyma.03G031800,Glyma.01G079500,Glyma.11G168219
Legume.fam3.00546,Glyma.15G167500,Glyma.09G061200,Glyma.13G101700,Glyma.17G057800
Legume.fam3.00554,Glyma.13G343300,Glyma.15G031100,Glyma.12G053500,Glyma.11G129000
Legume.fam3.00559,Glyma.07G006500,Glyma.08G207100,Glyma.15G014000,Glyma.13G360000
Legume.fam3.00561,Glyma.01G006000,Glyma.07G125600,Glyma.08G032800,Glyma.05G225900
Legume.fam3.00575,Glyma.06G191400,Glyma.04G172900,Glyma.17G098300,Glyma.05G028500
Legume.fam3.00577,Glyma.01G239800,Glyma.11G003900,Glyma.20G143000,Glyma.10G250700
Legume.fam3.00578,Glyma.01G156700,Glyma.11G088000,Glyma.16G113000,Glyma.09G196000
Legume.fam3.00581,Glyma.17G152900,Glyma.05G070266,Glyma.11G041400,Glyma.01G200700
Legume.fam3.00593,Glyma.12G087700,Glyma.11G184700,Glyma.13G317300,Glyma.12G183700
Legume.fam3.00595,Glyma.08G209100,Glyma.07G033100,Glyma.13G362300,Glyma.15G011500
Legume.fam3.00598,Glyma.07G262600,Glyma.17G011500,Glyma.15G110200,Glyma.09G005600
Legume.fam3.00599,Glyma.13G052900,Glyma.19G033900,Glyma.18G272300,Glyma.08G250000
Legume.fam3.00601,Glyma.07G101800,Glyma.09G177300,Glyma.08G052500,Glyma.05G244600
Legume.fam3.00602,Glyma.07G093900,Glyma.09G182400,Glyma.08G044400,Glyma.05G237200
Legume.fam3.00605,Glyma.19G250900,Glyma.03G253400,Glyma.10G169100,Glyma.20G220500
Legume.fam3.00607,Glyma.17G204800,Glyma.14G128900,Glyma.04G071700,Glyma.06G073000
Legume.fam3.00609,Glyma.18G038500,Glyma.11G218900,Glyma.02G247600,Glyma.14G068700
Legume.fam3.00611,Glyma.18G080000,Glyma.08G327400,Glyma.14G014700,Glyma.02G299100
